ID,Subject,Standard Version (The solution will…..)
CF-02-03,Data preview - Document formats,"Provide the ability to preview document formats such as .odt, .pdf etc., excluding Microsoft Office formats which are classified separately."
CF-02-04,Data preview - Image formats,"Provide the ability to preview image formats such as .jpg, .svg etc."
CF-02-05,Data preview - MS Office formats,Provide the ability to preview Microsoft Office formats.
CF-02-06,Data preview - Packed formats,"Provide the ability to preview packed formats such as .zip, .eln etc."
CF-02-07,Data preview - Scientific formats,"Provide the ability to preview scientific formats such as .mol, .smi etc."
CF-02-08,Data preview - Structured formats,"Provide the ability to preview structured formats such as .json, .html etc."
CF-02-09,Data preview - Table formats,"Provide the ability to preview table formats such as .csv, .tsv etc."
CF-02-10,Data preview - Video formats,"Provide the ability to preview video formats such as .avi, .mov etc."
CF-04,Varied export options,"Varied export options are a critical feature of electronic research notebooks (ERNs) because they provide flexibility and ensure long-term accessibility of research data. By supporting multiple formats‚ such as structured, machine-readable files for integration with analysis tools and document formats for reporting‚ ERNs enable seamless collaboration, compliance with regulatory requirements, and efficient data sharing. These options also promote transparency and reproducibility by simplifying publication workflows, while safeguarding against technological obsolescence to keep research data usable well into the future."
CF-04-01,Varied export options - All content in a document format,"Allow exporting the entire notebook content into a document-oriented format (e.g., PDF or Word), suitable for reporting or archiving."
CF-04-02,"Varied export options - A subset of content in a structured, machine-readable format","Enable exporting selected portions of data in structured formats (e.g., CSV, JSON) for integration with analysis tools or databases."
CF-04-03,"Varied export options - All content in a structured, machine-readable format","Provide the ability to export the entire notebook in a structured format, ensuring interoperability and long-term accessibility."
CF-04-04,Varied export options - A subset of content in a document format,Support exporting specific sections or entries as document files for targeted sharing or reporting.
CF-04-05,Varied export options - Direct publication option,"Offer functionality to publish content directly from the notebook to external platforms or repositories, streamlining dissemination and compliance workflows."
CF-05,Templates,"Templating features in an electronic research notebook (ERN) are essential for improving efficiency, consistency, and reproducibility in research workflows. They allow users to define or import standardized templates for experiments, reports, or data entry, reducing repetitive work and ensuring uniform documentation across projects. By providing structured formats, templates minimize errors, enhance clarity, and make it easier to comply with institutional or regulatory standards. Additionally, they support collaboration by enabling teams to work within a common framework, and they facilitate faster onboarding for new users by offering predefined layouts. Overall, templating capabilities streamline processes, promote best practices, and contribute to higher-quality, more reliable research records."
CF-05-01,Templates - Definition or import of own templates,"Allow users to create custom templates or import templates they have previously designed, enabling personalized and consistent documentation across experiments."
CF-05-02,Templates - Import from internet sources,"Support importing templates directly from online repositories or sources, providing access to standardized or community-shared templates for specific research needs."
CF-05-04,Templates - Other subject-specific templates,"Include templates designed for specialized domains or disciplines, ensuring that unique experimental requirements are captured accurately."
CF-06,Searchability,"Searchability in an electronic research notebook (ERN) is vital for ensuring quick and accurate access to information within complex research datasets. Advanced search capabilities, such as full-text search, filtering, and layered data hierarchies, allow researchers to locate specific entries, metadata, or experimental details efficiently, reducing time spent navigating large volumes of data. These features improve productivity, support reproducibility, and enhance data integrity by making it easier to retrieve relevant records when needed. Additionally, robust search functions facilitate collaboration by enabling team members to find shared resources quickly and ensure compliance with documentation standards through traceable and organized data retrieval."
CF-06-01,Searchability - Advanced or conditional search,Enable complex queries using conditions or multiple parameters for precise results.
CF-06-02,Searchability - BLAST Search,Allow searching for biological sequences using the BLAST algorithm.
CF-06-03,Searchability - Database queries,Support querying structured databases directly from the notebook.
CF-06-04,Searchability - Layered data hierarchy,Provide hierarchical navigation and search across nested data structures.
CF-06-05,Searchability - Filtering,Offer options to narrow down results based on specific attributes or criteria.
CF-06-06,Searchability - Full text search,Enable searching across all text content within the notebook for keywords or phrases.
CF-06-07,Searchability - Search by command line,Allow users to perform searches using command-line syntax for advanced control.
CF-06-08,Searchability - Search for reactions by chemical structure,Provide facilitate searching for chemical reactions based on structural representations.
CF-06-09,Searchability - Tagging,Support tagging entries and searching by tags for quick categorization and retrieval.
CF-07,Collaboration,"Collaboration features in an electronic research notebook (ERN) are critical for fostering teamwork, transparency, and efficiency in research environments. These capabilities allow multiple users to share data, documents, and workflows seamlessly while maintaining appropriate access controls through rights and role management. Real-time collaboration and commenting enable dynamic discussions and immediate feedback, reducing delays in decision-making. Features such as notifications, shared calendars, and task assignments help coordinate activities and keep projects on track. By providing secure external guest access, ERNs also support partnerships beyond the organization without compromising data integrity. Overall, collaboration tools enhance productivity, ensure accountability, and create a centralized platform for collective knowledge sharing, which is essential for modern, interdisciplinary research."
CF-07-01,Collaboration - Commenting,Enable users to add comments on entries for feedback or clarification.
CF-07-02,Collaboration - External guest access,Provide secure access for external guests to view or contribute without compromising data integrity.
CF-07-03,Collaboration - Notifications,Provide send alerts or updates to keep users informed about changes or activities in the notebook.
CF-07-04,Collaboration - Real-time collaboration,Allow multiple users to work on the same content simultaneously for real-time collaboration.
CF-07-05,Collaboration - Rights management,"Provide rights management to individual or grouped object access control, to be likened to sharing a folder or a file with others via Dropbox, OneDrive etc. Manages access rights to control who can view, edit, or share specific data or sections."
CF-07-06,Collaboration - Role management,Provide role management to define a set of privileges which defines the freedoms and restrictions of a user across the software. These are normally chosen from pre-defined user profiles. Defines user roles with specific privileges to streamline permissions and responsibilities.
CF-07-07,Collaboration - Shared calendar(s) or scheduling,Offer shared calendars or scheduling tools to coordinate tasks and timelines among team members.
CF-07-08,Collaboration - Task assignment,Support assigning tasks to individuals or groups to improve project organization and accountability.
EF-01,Laboratory management functions,"Laboratory management functions in an electronic research notebook (ERN) play a key role in extending its utility beyond data documentation to operational control within research environments. These features enable researchers to manage critical resources such as instruments, samples, and materials through integrated inventories and tracking systems, ensuring traceability and compliance with safety standards. Functions like asset and instrument management help monitor usage, maintenance, and training requirements, while sample inventory and tracking improve organization and prevent loss of valuable biological or chemical materials. Additionally, chemical databases provide automated identification and safety data for risk assessment, and ordering functions streamline procurement processes. By incorporating these capabilities, ERNs enhance efficiency, reduce administrative burden, and support a more transparent and well-coordinated laboratory workflow."
EF-01-01,Laboratory management functions - Asset management,"Enable users to manage an inventory of assets, such as safety-critical items such as lasers and other radiation sources. This functionality is currently available within LabCup. The inventory feature set would ensure traceability of these items, and the attribution of time-sensitive activities to them."
EF-01-03,Laboratory management functions - Instrument management,"Include instrument management features where an inventory of instruments (measurement devices) alone is insufficient. Additional features compatible with tracking training, safety documentation and maintenance logs, for example, would also be required."
EF-01-04,Laboratory management functions - Device or instrument inventory,Provide a device or instrument inventory would be a basic inventory which allows for the addition of those items along with their locations. The additional functionality described in ‚Instrument management‚ wouldn't necessarily be present.
EF-01-05,Laboratory management functions - Sample inventory or tracking,"Provide sample inventories that facilitate sample management, typically including their location along with descriptions. Sample tracking is typically paired with sample labelling and scanning (perhaps with QR codes) to facilitate relocation, transfer, identification and ownership."
EF-01-06,Laboratory management functions - Materials or chemical database,"Provide a materials and chemical database would typically be able to auto-identify common components of each, and pull up their relevant safety data to facilitate risk assessment."
EF-01-07,Laboratory management functions - Ordering function,"Offer integration with purchasing software to smoothen ordering from within a research data workspace. This descriptor is intended to capture tools both with and without integrations to purchasing software, where the latter would facilitate a user signalling that an item needs restocking or acquiring, which may then be processed in separate purchasing software."
EF-01-08,Laboratory management functions - None,Provide no specific laboratory management functions are desired.
EF-02,Integrations and extensions,"Integrations and extensions in an electronic research notebook (ERN) are essential for enhancing functionality and interoperability within modern research workflows. They enable seamless data transfer between the ERN and external tools, platforms, or services, reducing manual effort and minimizing errors. By supporting integrations with cloud storage, data repositories, analysis tools, and collaboration platforms, ERNs allow researchers to centralize their work while leveraging specialized software for tasks such as data visualization, statistical analysis, and compliance management. Extensions further expand capabilities by adding domain-specific features or automation options, ensuring the ERN remains adaptable to evolving research needs. Ultimately, these integrations and extensions streamline processes, improve efficiency, and foster a more connected and collaborative research ecosystem."
EF-02-10,Integrations and extensions - ChemDraw,"Provide integration with ChemDraw, a widely used chemical drawing tool, enabling researchers to create and edit chemical structures via the notebook for accurate representation and documentation of molecular data."
EF-02-12,Integrations and extensions - Dataverse,"Support connectivity with Dataverse, a data repository platform, allowing seamless publishing, sharing, and preservation of research datasets from the notebook to ensure compliance and promote open science practices."
EF-02-14,Integrations and extensions - DMPOnline,Provide integration with DMPOnline for managing data management plans.
EF-02-16,Integrations and extensions - Dropbox,Allow linking or syncing with Dropbox for file storage and sharing.
EF-02-20,Integrations and extensions - Figshare,Support integration with Figshare for publishing and sharing research outputs.
EF-02-25,Integrations and extensions - Github,Enable integration with GitHub for version control and code sharing.
EF-02-26,Integrations and extensions - Google Docs,Provide connectivity with Google Docs for collaborative document editing.
EF-02-27,Integrations and extensions - Google Drive,Allow integration with Google Drive for cloud storage and file access.
EF-02-28,Integrations and extensions - GraphPad Prism,Support integration with GraphPad Prism for statistical analysis and graphing.
EF-02-31,Integrations and extensions - Jupyter,Enable integration with Jupyter notebooks for interactive computing and data analysis.
EF-02-33,Integrations and extensions - Microsoft 365,Offer integration with Microsoft 365 tools for productivity and collaboration.
EF-02-34,Integrations and extensions - Microsoft Teams,Provide connectivity with Microsoft Teams for communication and teamwork.
EF-02-38,Integrations and extensions - OneDrive,Allow integration with OneDrive for secure cloud storage and file sharing.
EF-02-43,Integrations and extensions - Protocols.io,Support integration with Protocols.io for sharing and accessing experimental protocols.
EF-02-44,Integrations and extensions - PubChem,Enable linking to PubChem for chemical information and data retrieval.
EF-02-46,Integrations and extensions - PyRAT,Provide integration with PyRAT for animal research management.
EF-02-48,Integrations and extensions - Quartzy,Support integration with Quartzy for lab supply management and ordering.
EF-02-51,Integrations and extensions - Slack,Allow integration with Slack for team communication and notifications.
EF-02-52,Integrations and extensions - SnapGene,Enable integration with SnapGene for molecular biology workflows.
EF-02-56,Integrations and extensions - Zebra Label Printers,Support connectivity with Zebra printers for label printing.
EF-02-57,Integrations and extensions - Zenodo,Provide integration with Zenodo for archiving and sharing research outputs.
EF-03,Automation features,"Automation features in an electronic research notebook (ERN) are crucial for improving efficiency, accuracy, and scalability in research workflows. These capabilities enable tasks such as automatic data upload, real-time folder monitoring, and preliminary data analysis, reducing manual effort and minimizing human error. By supporting automation, ERNs streamline repetitive processes, accelerate data handling, and allow researchers to focus on higher-level analysis and decision-making. Additionally, automation enhances reproducibility by ensuring consistent execution of workflows and facilitates integration with external devices or software through APIs, making the ERN adaptable to complex, technology-driven research environments. Ultimately, automation transforms ERNs into powerful tools for modern laboratories, enabling faster, more reliable, and more collaborative research."
EF-03-01,Automation features - Data autoupload or folder watch,Enable automatic uploading of data or monitoring folders for new files to streamline data entry.
EF-03-02,Automation features - Data analysis automation,Provide automated analysis capabilities to process and interpret data without manual intervention.
EF-03-06,Automation features - None,Provide no specific automation features are required.
EF-05,Project management tools,"Project management features in an electronic research notebook (ERN) are important for helping researchers organize and track their work efficiently. These tools, such as personal calendars, task boards, and planners, allow users to schedule activities, manage deadlines, and prioritize tasks without relying on external systems. By integrating project management within the ERN, researchers can maintain a centralized workspace that combines experimental documentation with planning, reducing fragmentation and improving productivity. These features also support better time management and accountability, ensuring that complex research projects progress smoothly and milestones are met."
EF-05-01,Project management tools - Calendar,Provide a personal calendar for scheduling activities and managing deadlines.
EF-05-02,Project management tools - Task-board,"Offer a task board for organizing and tracking tasks visually, similar to Kanban boards."
EF-05-03,Project management tools - Planner,"Include planning tools to structure projects, set milestones, and prioritize work."
EF-05-04,Project management tools - None,Provide no specific project management tools are required.
EF-06,Workflow capture,"Workflow capture features in an electronic research notebook (ERN) are essential for documenting, visualizing, and reusing research processes, which significantly improves efficiency and transparency. These capabilities allow researchers to represent workflows graphically, generate detailed reports, and even create executable workflows that can automate repetitive tasks. By supporting exportable and importable workflows, ERNs facilitate knowledge transfer and reproducibility across projects and teams. Capturing workflows ensures traceability of decisions and experimental steps, which is critical for compliance and collaborative research environments. Ultimately, these features help standardize procedures, reduce errors, and enable researchers to build a structured, auditable record of their methodologies."
EF-06-01,Workflow capture - Graphical representation,"Provide the ability to visually represent workflows in a graphical format for better understanding and communication, but not necessarily for execution."
EF-06-02,Workflow capture - Reporting,Enable generation of detailed workflow reports to document processes and decisions.
EF-06-03,Workflow capture - Executable workflow,Support creating workflows that can be executed automatically to streamline repetitive tasks.
EF-06-04,Workflow capture - Exportable,Allow workflows to be exported for sharing or integration with other systems.
EF-06-05,Workflow capture - Importable,Provide facilitate importing workflows from external sources to reuse or adapt existing processes.
EF-06-06,Workflow capture - None,Provide no specific workflow capture features are required.
G-01,License,"Source code of software can be made available by the developer or not. The license details the legal aspects related to the distribution and use of the ERN. An end-user may be passionate about open software and/or open source code, and so therefore may argue for their notebook to also carry an open software licence. If potential users are particularly enthused, they may offer up preferred open licence types."
G-01-01,License - Open Source,"Provide a Open Source licence type is preferred for the software, generally meaning that the software is free to use and modify, although the specifics are dependent on the exact licence details."
G-01-01-05, Open Source - Unsure or Don't know or Don't mind,"Provide no strong preference or uncertainty expressed about the choice of open-source license type for the software, leaving flexibility to select a tool with an appropriate licensing model."
G-01-02,License - Closed Source,"Provide proprietary software is preferred, for which only the developers/owners of the software retain the rights to distribute or modify the source code."
EF-03-IT-01,Application Programming Interface (API),"Provide an interface for programmatic interaction, enabling integration with other systems or devices."
EF-03-IT-01-03,Automation features - Application Programming Interface (API) - Python,Allow API interaction using Python for scripting and automation.
EF-03-IT-01-06,Automation features - Application Programming Interface (API) - None,Provide no specific API functionality is required.
IT-02,Controlled vocabulary,"Controlled vocabularies (ontologies) are a set of predefined expressions/words that can be provided as input. They improve the coherence of records by preventing different versions of the same term (e.g. typos, plural vs. singular). Using published controlled vocabularies (or ontologies) is an important step to increase interoperability and comparability of records between groups."
IT-03,Data access (client),"The vast majority of ERNs are browser-based and are therefore accessible through any computer operating system. Specifics of being able to accessing the platform via a browser on a desktop, via browswer on a tablet/mobile (i.e. with a Responsive Design), mobile app, desktop client or a command line interface is captured here."
IT-03-01,Data access (client) - Web browser on desktop,Provide access the ERN through a standard web browser on a desktop computer.
IT-03-03,Data access (client) - Mobile App,Provide access the ERN via a native mobile application for smartphones or tablets.
IT-03-04,Data access (client) - Web browser on mobile or tablet,Provide use a responsive web interface through a browser on mobile or tablet devices.
IT-03-05,Data access (client) - Command line interface (CLI),Provide perform operations and access the ERN using command-line syntax for advanced control.
IT-04,Data storage location,"The location of storage must be compliant with the privacy policy of the using organization. Depending on the selection, full control over the data and the security protocols lies with the administration of the organization using the ERN. In the case of cloud storage, the physical location of the servers may determine whether compliance with certain data protection policies may be expected."
IT-04-01,Data storage location - Cloud of own choice,"Provide data is stored in a cloud environment selected by the organization, providing flexibility and control over compliance and security."
IT-04-02,Data storage location - Locally,"Provide data is stored on local servers or infrastructure managed by the organization, ensuring full control over security and privacy. Referencing data held on RDS also falls into this category, as does providing offline access with local cacheing."
IT-04-03,Data storage location - Provider's Cloud,"Provide data is stored in the cloud infrastructure provided by the ERN vendor, which may affect compliance depending on server location."
IT-04-04,Data storage location - None,Provide indicates no specific preference or requirement for data storage location.
U-01,Customisable user interface,"Individual operability of the ERN can significantly increase acceptance. This criterion specifies whether users can configure the interface according to their preferences via personalisation of say, column headers in the GUI."
U-02,Languages,"The desire for additional language availability in the GUI is captured here. Users can of course enter data in any language they wish, although the University would encourage English for sharing purposes, users may wish for menus etc. to be in another language, which is occasionally facilitated by ERN software."
U-03,Support,"This refers to all the support that a provider offers so that the tool can be used. This includes both general information, such as ""Getting Started"" or a general explanation of the tool's concepts, and individual support for specific problems. This does not refer to maintenance, which is usually part of the contract and is agreed individually."
U-03-01,Support - Vendor consultation,Provide direct consultation with the vendor for guidance and problem-solving.
U-03-02,Support - Online vendor documentation,Offer access to comprehensive online documentation supplied by the vendor for self-help and learning.
U-03-03,Support - Vendor-supplied training,Include training sessions or resources provided by the vendor to help users understand and effectively use the ERN.
