TL-01,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04
LOGS-ELN (SIGNALS),,,,,,,,,,,,,,Mendeley (Elsevier),,,,,,,
Mbl Book,,,,,,,,,,,,,,MethodsX (Elsevier),,,,,,,
Mbook Chemistry/ Analytical (Mestrelab),,,,,,,,,,,,,,Microsoft Office Plug-in,,,,,,,
NOMAD,,,,,,,,,,,,,,Mind the Graph (Cactus),,,,,,,
NuGenesis LMS (Waters Corporation),,,,,,,,,,,,,,mpVision (Modicus Prime),,,,,,,
OneNote (Microsoft),,,,,,,,,,,,,,One Drive,,,,,,,
Open Enventory,,,,,,,,,,,,,,OneNote,,,,,,,
openBis,,,,,,,,,,,,,,OpenBabel,,,,,,,
OSF,,,,,,,,,,,,,,PlasMapper,,,,,,,
Overleaf,,,,,,,,,,,,,,Polygon AI (Rewire Neuro),,,,,,,
PASTA-ELN,,,,,,,,,,,,,,Protocols.io,,,,,,,
Perkin Elmer Signals,,,,,,,,,,,,,,Pubchem (NLM),,,,,,,
PerkinElmer E-Notebook,,,,,,,,,,,,,,Quality Analyst (Northwest Analytics),,,,,,,
Pillar Science,,,,,,,,,,,,,,RackScan Analyzer (Eppendorf ),,,,,,,
Protocols.io,,,,,,,,,,,,,,rdkit,,,,,,,
quattro/LJ,,,,,,,,,,,,,,SafeCode System (Eppendorf ),,,,,,,
Riffyn Nexus,,,,,,,,,,,,,,SAP BTP,,,,,,,
SampleDB,,,,,,,,,,,,,,Slack,,,,,,,
Sapio Platform (Triple Play),,,,,,,,,,,,,,SnapGene (Dotmatics),,,,,,,
SciCord,,,,,,,,,,,,,,Teams,,,,,,,
Sciformation,,,,,,,,,,,,,,VisioNize sense (Eppendorf ),,,,,,,
Scilligence,,,,,,,,,,,,,,Winchat,,,,,,,
Word (Microsoft),,,,,,,,,,,,,,Zotero,,,,,,,
